Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47uF,C_1210_3225Metric,194.600000,-87.600000,-90.000000,top
D1,LED,LED_PLCC_2835,181.000000,-80.400000,180.000000,top
D2,LED,LED_PLCC_2835,194.000000,-80.400000,0.000000,top
D3,LED,LED_PLCC_2835,181.000000,-94.600000,180.000000,top
D4,LED,LED_PLCC_2835,194.000000,-94.600000,0.000000,top
D5,LED,LED_PLCC_2835,187.500000,-87.500000,0.000000,top
Q1,IRLML2502TRPBF,SOT-23,178.000000,-87.500000,90.000000,top
R1,5R1,R_1206_3216Metric,181.400000,-83.300000,180.000000,top
R2,5R1,R_1206_3216Metric,193.600000,-83.300000,0.000000,top
R3,5R1,R_1206_3216Metric,181.400000,-91.700000,180.000000,top
R4,5R1,R_1206_3216Metric,193.600000,-91.700000,0.000000,top
R5,5R1,R_1206_3216Metric,186.700000,-90.400000,0.000000,top
R6,100R,R_1206_3216Metric,177.100000,-91.900000,90.000000,top